Sido,Sigun,id,moon,hong,ahn,yoo,shim,etc,1st,1st_C,2nd,2nd_C,gap,final
경기,수원시권선구,41113,0.431,0.193,0.231,0.07,0.07,0.005,0.431,Moon,0.231,Ahn,0.2,0.431
경기,수원시팔달구,41115,0.405,0.226,0.23,0.067,0.068,0.005,0.405,Moon,0.23,Ahn,0.176,0.405
경기,수원시영통구,41117,0.479,0.152,0.213,0.084,0.069,0.003,0.479,Moon,0.213,Ahn,0.265,0.479
경기,성남시수정구,41131,0.429,0.191,0.247,0.063,0.065,0.006,0.429,Moon,0.247,Ahn,0.182,0.429
경기,성남시중원구,41133,0.429,0.191,0.25,0.058,0.066,0.007,0.429,Moon,0.25,Ahn,0.179,0.429
경기,성남시분당구,41135,0.415,0.212,0.22,0.09,0.061,0.004,0.415,Moon,0.22,Ahn,0.195,0.415
경기,의정부시,41150,0.41,0.212,0.241,0.064,0.068,0.005,0.41,Moon,0.241,Ahn,0.169,0.41
경기,안양시만안구,41171,0.421,0.21,0.231,0.066,0.067,0.005,0.421,Moon,0.231,Ahn,0.19,0.421
경기,안양시동안구,41173,0.44,0.187,0.226,0.076,0.066,0.003,0.44,Moon,0.226,Ahn,0.214,0.44
경기,부천시,41190,0.442,0.186,0.237,0.063,0.068,0.005,0.442,Moon,0.237,Ahn,0.206,0.442
경기,광명시,41210,0.449,0.179,0.238,0.063,0.066,0.004,0.449,Moon,0.238,Ahn,0.211,0.449
경기,평택시,41220,0.384,0.231,0.235,0.071,0.074,0.006,0.384,Moon,0.235,Ahn,0.149,0.384
경기,동두천시,41250,0.352,0.285,0.232,0.058,0.066,0.006,0.352,Moon,0.285,Hong,0.067,0.352
경기,안산시상록구,41271,0.437,0.176,0.244,0.063,0.073,0.005,0.437,Moon,0.244,Ahn,0.193,0.437
경기,안산시단원구,41273,0.433,0.182,0.245,0.064,0.071,0.005,0.433,Moon,0.245,Ahn,0.188,0.433
경기,고양시덕양구,41281,0.42,0.193,0.215,0.063,0.105,0.004,0.42,Moon,0.215,Ahn,0.204,0.42
경기,고양시일산동구,41285,0.435,0.186,0.219,0.075,0.082,0.004,0.435,Moon,0.219,Ahn,0.215,0.435
경기,고양시일산서구,41287,0.447,0.183,0.216,0.073,0.077,0.004,0.447,Moon,0.216,Ahn,0.231,0.447
경기,과천시,41290,0.406,0.223,0.215,0.082,0.069,0.004,0.406,Moon,0.223,Hong,0.184,0.406
경기,구리시,41310,0.416,0.212,0.233,0.066,0.068,0.004,0.416,Moon,0.233,Ahn,0.183,0.416
경기,남양주시,41360,0.416,0.217,0.232,0.064,0.066,0.004,0.416,Moon,0.232,Ahn,0.184,0.416
경기,오산시,41370,0.443,0.185,0.23,0.067,0.071,0.004,0.443,Moon,0.23,Ahn,0.213,0.443
경기,시흥시,41390,0.435,0.181,0.244,0.062,0.072,0.005,0.435,Moon,0.244,Ahn,0.191,0.435
경기,군포시,41410,0.445,0.188,0.226,0.069,0.068,0.004,0.445,Moon,0.226,Ahn,0.219,0.445
경기,의왕시,41430,0.424,0.205,0.228,0.073,0.067,0.004,0.424,Moon,0.228,Ahn,0.196,0.424
경기,하남시,41450,0.414,0.23,0.224,0.07,0.059,0.004,0.414,Moon,0.23,Hong,0.184,0.414
경기,용인시처인구,41461,0.376,0.247,0.239,0.065,0.069,0.005,0.376,Moon,0.247,Hong,0.129,0.376
경기,용인시기흥구,41463,0.445,0.205,0.212,0.073,0.061,0.004,0.445,Moon,0.212,Ahn,0.232,0.445
경기,용인시수지구,41465,0.424,0.223,0.209,0.082,0.058,0.003,0.424,Moon,0.223,Hong,0.2,0.424
경기,파주시,41480,0.419,0.216,0.215,0.066,0.079,0.005,0.419,Moon,0.216,Hong,0.202,0.419
경기,이천시,41500,0.364,0.275,0.22,0.065,0.07,0.006,0.364,Moon,0.275,Hong,0.089,0.364
경기,안성시,41550,0.371,0.252,0.238,0.061,0.072,0.006,0.371,Moon,0.252,Hong,0.12,0.371
경기,김포시,41570,0.418,0.216,0.228,0.07,0.065,0.004,0.418,Moon,0.228,Ahn,0.19,0.418
